,Rank,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,Med revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
53,54,Kinetic Games,Indie,1,0,238800000.0,238800000.0,238800000.0,United Kingdom,1%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%
54,55,Gearbox Publishing,AA,15,0,238100000.0,15900000.0,8900000.0,United States,0%,47%,67%,7%,53%,13%,20%,13%,0%,0%,0%
55,56,Fatshark,AA,10,0,236800000.0,23700000.0,5100000.0,Sweden,8%,80%,70%,20%,40%,0%,40%,20%,0%,0%,10%
56,57,Starbreeze Publishing,Indie,5,1,234500000.0,46900000.0,116400000.0,Sweden,0%,33%,100%,17%,0%,33%,33%,17%,17%,0%,17%
57,58,Curve Games,Indie,43,2,229700000.0,5300000.0,692000.0,United Kingdom,0%,82%,49%,20%,47%,38%,22%,11%,0%,9%,13%
58,59,The Fun Pimps Entertainment LLC,AA,1,1,221700000.0,221700000.0,221700000.0,United States,0%,50%,100%,0%,50%,50%,50%,50%,0%,0%,0%
59,60,Psyonix,Indie,1,0,218100000.0,218100000.0,0	Unit,ed States,1%,100%,100%,0%,0%,0%,0%,0%,0%,100%,100%
60,61,Private Division,Indie,10,1,215000000.0,21500000.0,6500000.0,United States,0%,36%,45%,9%,55%,27%,9%,45%,0%,0%,0%
61,62,Annapurna Interactive,Indie,36,9,211500000.0,5900000.0,677000.0,United States,1%,71%,31%,29%,89%,9%,0%,4%,0%,2%,2%
62,63,SCS Software,AA,6,0,204800000.0,34100000.0,1200000.0,Czech Republic,6%,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%
63,64,Daedalic Entertainment,Indie,90,6,201200000.0,2200000.0,563000.0,Germany,24%,93%,24%,20%,60%,21%,33%,9%,1%,1%,0%
64,65,PlayWay S. A.,Indie,199,161,197100000.0,990000.0,133000.0,Poland,3%,75%,35%,52%,34%,91%,24%,9%,1%,6%,3%
65,66,Unknown Worlds Entertainment,AA,5,1,196100000.0,39200000.0,50400000.0,United States,5%,100%,50%,17%,33%,0%,17%,17%,0%,0%,0%
66,67,Arc Games,Indie,14,3,189600000.0,13500000.0,3400000.0,United States,0%,35%,71%,6%,47%,0%,12%,65%,18%,0%,0%
67,68,Humble Games,Indie,49,6,189000000.0,3900000.0,670000.0,United States,0%,80%,53%,15%,65%,18%,22%,35%,2%,0%,2%
68,69,Crytek,AA,11,0,188300000.0,17100000.0,5500000.0,Germany,10%,9%,55%,9%,18%,27%,0%,0%,0%,0%,9%
69,70,Endnight Games Ltd,AA,1,0,187400000.0,187400000.0,187400000.0,Canada,1%,100%,100%,0%,100%,100%,0%,0%,0%,0%,0%
70,71,11 bit studios,AA,18,4,184500000.0,10300000.0,3200000.0,Poland,10%,55%,50%,0%,50%,23%,41%,14%,0%,0%,0%
71,72,ConcernedApe,AA,1,0,180700000.0,180700000.0,180700000.0,United States,1%,100%,0%,0%,0%,100%,0%,100%,0%,0%,0%
72,73,tinybuild,Indie,102,12,180600000.0,1800000.0,589000.0,United States,9%,92%,66%,22%,60%,32%,26%,22%,4%,4%,4%
73,74,Wube Software LTD.,Indie,1,0,179200000.0,179200000.0,179200000.0,Czech Republic,1%,100%,0%,100%,0%,100%,100%,0%,0%,0%,0%
74,75,Re-Logic,Indie,3,0,178100000.0,59400000.0,89000000.0,United States,1%,100%,100%,0%,100%,33%,0%,100%,0%,0%,0%
75,76,Giants Software,Indie,9,1,177600000.0,19700000.0,14400000.0,Switzerland,10%,0%,0%,30%,0%,100%,0%,0%,0%,0%,0%
76,77,Eidos Interactive,AA,11,0,174700000.0,15900000.0,2600000.0,United Kingdom,0%,0%,100%,0%,27%,18%,0%,36%,0%,0%,0%
77,78,Kepler Interactive,Indie,12,1,166900000.0,13900000.0,1500000.0,United Kingdom,0%,85%,85%,23%,77%,8%,0%,46%,0%,15%,8%
78,79,Nacon,Indie,106,13,162500000.0,1500000.0,495000.0,France,0%,5%,24%,12%,26%,41%,20%,13%,2%,24%,48%
79,80,Hooded Horse,Indie,16,18,153100000.0,9600000.0,3500000.0,United States,0%,6%,12%,0%,3%,85%,100%,35%,0%,0%,0%
80,81,Newnight,Indie,1,0,152800000.0,152800000.0,152800000.0,United Kingdom,0%,100%,100%,0%,100%,100%,0%,0%,0%,0%,0%
81,82,"The,Indie Stone",Indie,1,0,152400000.0,152400000.0,152400000.0,United Kingdom,1%,100%,0%,0%,0%,100%,0%,100%,0%,0%,0%
82,83,Stunlock Studios,Indie,4,0,148200000.0,37000000.0,129699999.99999999,Sweden,4%,0%,100%,0%,25%,0%,0%,0%,75%,0%,0%
83,84,Quantic Dream,Indie,4,0,148100000.0,37000000.0,9100000.0,France,4%,0%,75%,0%,100%,0%,0%,25%,0%,0%,0%
84,85,Daybreak Game Company,AA,10,0,146000000.0,14600000.0,0,United States,5%,0%,70%,0%,50%,0%,0%,40%,100%,0%,0%
85,86,Hello Games,AA,4,2,145000000.0,36300000.0,2500000.0,United Kingdom,5%,50%,83%,33%,67%,0%,0%,0%,0%,33%,0%
86,87,Prime Matter,AA,19,0,144200000.0,7600000.0,629000.0,Germany,0%,11%,74%,0%,47%,5%,26%,37%,0%,0%,0%
87,88,Grinding Gear Games,AA,2,0,143200000.0,71600000.0,143200000.0,New Zealand,2%,50%,100%,0%,100%,0%,0%,100%,100%,0%,0%
88,89,Torn Banner Studios,Indie,4,0,141600000.0,35400000.0,70000000.0,Canada,4%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%
89,90,CI Games,AA,16,0,141200000.0,8800000.0,4000000.0,Poland,6%,13%,81%,0%,19%,19%,0%,19%,0%,0%,0%
90,91,The Behemoth,Indie,6,0,140300000.0,23400000.0,2900000.0,United States,6%,67%,100%,50%,33%,0%,17%,33%,0%,0%,0%
91,92,Neowiz,Indie,15,2,138500000.0,9200000.0,753000.0,South Korea,3%,65%,94%,29%,65%,12%,6%,35%,6%,6%,6%
92,93,Io-Interactive A/S,Indie,8,0,136300000.0,17000000.0,3600000.0,Denmark,8%,0%,100%,0%,13%,0%,0%,0%,0%,0%,0%
93,94,Red Barrels,AA,3,0,135600000.0,45200000.0,47500000.0,Canada,3%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%
94,95,GSC Game World (worldwide),Indie,1,0,127200000.0,127200000.0,127200000.0,Ukraine,0%,0%,100%,0%,100%,0%,0%,100%,0%,0%,0%
95,96,SEGA (Japan),Indie,1,0,127200000.0,127200000.0,127200000.0,Japan,0%,0%,100%,0%,100%,0%,0%,100%,0%,0%,0%
96,97,4divinity (China and South East Asia),Indie,1,0,127200000.0,127200000.0,127200000.0,China,0%,0%,100%,0%,100%,0%,0%,100%,0%,0%,0%
97,98,Skybound Games,AA,17,0,127200000.0,7500000.0,296000.0,United States,1%,47%,18%,24%,76%,12%,0%,18%,0%,0%,0%
98,99,Funcom,AA,18,1,123800000.0,6900000.0,1200000.0,Norway,11%,11%,63%,5%,79%,11%,26%,53%,37%,0%,0%
99,100,BeamNG,AA,1,0,122700000.0,122700000.0,122700000.0,Germany,1%,0%,0%,0%,0%,100%,0%,0%,0%,100%,0%
100,101,Kalypso Media Digital,AA,48,0,122600000.0,2600000.0,477000.0,United Kingdom,0%,13%,31%,6%,8%,40%,65%,27%,0%,2%,2%
101,102,Landfall,Indie,10,0,117200000.0,11700000.0,15100000.0,Sweden,8%,100%,90%,20%,30%,20%,20%,0%,0%,20%,0%
102,103,Zeekerss,Indie,4,1,115800000.0,28900000.0,551000.0,United States,5%,100%,80%,0%,80%,0%,0%,0%,0%,0%,0%
103,104,Gamera Games,Indie,116,12,111500000.0,961000.0,80.342,China,0%,85%,29%,26%,42%,27%,34%,34%,0%,1%,0%
104,105,New Blood Interactive,Indie,12,1,110300000.0,9200000.0,2000000.0,United States,0%,92%,77%,8%,31%,0%,15%,8%,0%,0%,0%
105,106,LucasArts,AA,38,0,110000000.0,2900000.0,454000.0,United States,17%,0%,63%,3%,37%,16%,11%,5%,0%,3%,0%
106,107,Lucasfilm,Indie,43,0,110000000.0,2600000.0,331000.0,United States,1%,0%,58%,2%,40%,12%,9%,5%,0%,2%,0%
107,108,Lightning Games,Indie,16,2,108500000.0,6800000.0,656000.0,China,4%,83%,56%,33%,39%,22%,28%,50%,0%,0%,0%
108,109,Disney,AAA,91,1,107100000.0,1200000.0,160000.0,United States,0%,0%,65%,7%,58%,8%,5%,1%,0%,9%,0%
109,110,1C-SoftClub,Indie,3,0,106300000.0,35400000.0,22200000.0,Russia,0%,0%,33%,0%,0%,0%,33%,67%,0%,0%,0%
110,111,ARC SYSTEM WORKS,Indie,47,2,105300000.0,2200000.0,143000.0,Japan,29%,4%,84%,6%,16%,6%,2%,12%,0%,2%,4%
111,112,"Spike Chunsoft Co., Ltd.",Indie,56,2,104100000.0,1900000.0,390000.0,Japan,22%,0%,17%,2%,78%,2%,3%,14%,0%,0%,2%
112,113,Stardock Entertainment,AA,25,0,101200000.0,4000000.0,632000.0,United States,21%,68%,24%,8%,16%,44%,96%,20%,0%,0%,0%
113,114,ZA/UM,Indie,1,0,101000000.0,101000000.0,101000000.0,Estonia,1%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
114,115,Ludeon Studios,AA,1,0,97600000.0,97600000.0,97600000.0,Canada,1%,100%,0%,0%,0%,100%,100%,0%,0%,0%,0%
115,116,Frictional Games,AA,8,0,95600000.0,11900000.0,4800000.0,Sweden,7%,100%,75%,0%,100%,0%,0%,0%,0%,0%,0%
116,117,鬼谷工作室,Indie,1,0,94500000.0,94500000.0,94500000.0,China,1%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
117,118,TVGS,Indie,1,0,93900000.0,93900000.0,93900000.0,Australia,1%,100%,100%,0%,0%,100%,100%,0%,0%,0%,0%
118,119,PLAYISM,Indie,120,16,91200000.0,760000.0,150000.0,Japan,0%,93%,53%,26%,41%,15%,7%,15%,0%,1%,3%
119,120,Keen Games GmbH,Indie,1,0,89200000.0,89200000.0,89200000.0,Germany,1%,0%,100%,0%,100%,0%,0%,100%,0%,0%,0%
120,121,"Jackbox Games, Inc.",Indie,26,0,88300000.0,3400000.0,183000.0,United States,26%,96%,0%,100%,0%,0%,96%,0%,0%,0%,0%
121,122,XSEED Games,AA,65,6,88000000.0,1400000.0,570000.0,United States,0%,14%,56%,17%,27%,17%,3%,54%,0%,1%,0%
122,123,Hinterland Studio Inc.,Indie,1,1,87500000.0,87500000.0,87500000.0,Canada,2%,100%,50%,0%,50%,100%,100%,0%,0%,0%,0%
123,124,Shiro Games,AA,6,1,87500000.0,14600000.0,5900000.0,France,7%,71%,29%,14%,71%,29%,43%,43%,14%,0%,0%
124,125,Fulqrum Publishing,Indie,124,3,86500000.0,697000.0,77.450,Czech Republic,14%,33%,36%,6%,26%,19%,46%,32%,0%,3%,0%
125,126,Red Hook Studios,AA,2,0,86200000.0,43100000.0,43100000.0,Canada,2%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%
126,127,Warhorse Studios,AA,1,0,86100000.0,86100000.0,86100000.0,Czech Republic,1%,0%,100%,0%,100%,0%,0%,100%,0%,0%,0%
127,128,Berserk Games,Indie,1,0,86000000.0,86000000.0,86000000.0,United States,1%,100%,0%,100%,0%,100%,100%,100%,0%,0%,0%
128,129,PlayStack,Indie,10,5,83400000.0,8300000.000000001,2100000.0,United Kingdom,0%,47%,47%,20%,53%,7%,20%,27%,0%,0%,0%
129,130,Kunos Simulazioni,Indie,1,0,82600000.0,82600000.0,82600000.0,Italy,1%,100%,0%,0%,0%,100%,0%,0%,0%,100%,100%
130,131,"Nicalis, Inc.",Indie,23,0,82600000.0,3600000.0,54.440,United States,8%,65%,78%,17%,48%,4%,13%,17%,0%,0%,0%
131,132,Raw Fury,Indie,55,5,81400000.0,1500000.0,761000.0,Sweden,1%,83%,38%,13%,50%,18%,23%,18%,0%,0%,0%
132,133,Chucklefish,AA,13,2,80700000.0,6200000.0,935000.0,United Kingdom,4%,93%,47%,13%,53%,13%,40%,60%,0%,0%,0%
133,134,"Marvelous USA, Inc.",Indie,58,5,80200000.0,1400000.0,537000.0,United States,0%,11%,57%,13%,22%,14%,3%,51%,0%,2%,0%
134,135,Studio MDHR Entertainment Inc.,AA,1,0,79400000.0,79400000.0,79400000.0,Canada,1%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%
135,136,NetEase Games Global,Indie,1,0,79200000.0,79200000.0,0,China,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,0%
136,137,Kalypso Media,AA,18,0,79100000.0,4400000.0,1500000.0,Germany,0%,0%,17%,0%,6%,50%,83%,17%,0%,0%,6%
137,138,Good Shepherd Entertainment,AA,30,1,78800000.0,2600000.0,693000.0,Netherlands,0%,68%,48%,13%,45%,19%,39%,23%,0%,0%,0%
138,139,Avalanche Studios,AA,5,0,77200000.0,15400000.0,8900000.0,Sweden,2%,0%,60%,20%,100%,80%,0%,0%,0%,0%,60%
