,Rank,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,Med revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
180,181,Ninja Kiwi,Indie,11,1,50000000.0,4500000.0,25000000.0,New Zealand,12%,8%,75%,17%,0%,0%,75%,25%,0%,0%,0%
181,182,Playdead,AA,2,0,49700000.0,24900000.0,24900000.0,Denmark,2%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%
182,183,Eugen Systems,Indie,6,0,49600000.0,8300000.000000001,7100000.0,France,6%,100%,33%,0%,0%,83%,100%,0%,0%,0%,0%
183,184,Crowbar Collective,Indie,1,0,49500000.0,49500000.0,49500000.0,United States,1%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%
184,185,"MADFINGER Games, a.s.",Indie,1,0,49000000.0,49000000.0,49000000.0,Czech Republic,1%,0%,100%,0%,100%,0%,0%,0%,100%,0%,0%
185,186,SgtOkiDoki,Indie,1,0,49000000.0,49000000.0,49000000.0,United Kingdom,1%,0%,100%,0%,0%,0%,0%,0%,100%,0%,0%
186,187,Mega Crit,Indie,1,1,48400000.0,48400000.0,48400000.0,United States,2%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
187,188,Remedy Entertainment,Indie,3,1,48100000.0,16000000.0,5500000.0,Finland,4%,0%,100%,0%,50%,0%,0%,0%,0%,25%,0%
188,189,SUPERHOT Team,Indie,3,0,48000000.0,16000000.0,13800000.0,Poland,3%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%
189,190,tobyfox,Indie,1,1,47800000.0,47800000.0,47800000.0,United States,2%,100%,0%,0%,0%,0%,0%,100%,0%,0%,0%
190,191,3909,Indie,2,0,47200000.0,23600000.0,23600000.0,Japan,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%
191,192,Sekai Project,Indie,163,7,46800000.0,287000.0,38.395,United States,3%,59%,15%,75%,44%,15%,5%,13%,0%,0%,1%
192,193,Aerosoft GmbH,Indie,50,3,46800000.0,935000.0,185000.0,Germany,0%,34%,19%,75%,9%,98%,19%,0%,0%,4%,2%
193,194,10 Chambers,Indie,1,1,46600000.0,46600000.0,46600000.0,Sweden,2%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
194,195,Triternion,AA,1,0,46400000.0,46400000.0,46400000.0,Slovenia,1%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%
195,196,Beamdog,Indie,6,0,45500000.0,7600000.0,5800000.0,Canada,6%,0%,0%,0%,67%,0%,17%,83%,0%,0%,0%
196,197,NekoNyan Ltd.,Indie,31,4,45400000.0,1500000.0,211000.0,United Kingdom,3%,9%,3%,83%,66%,23%,0%,3%,0%,0%,3%
197,198,Toplitz Productions,Indie,25,7,45300000.0,1800000.0,296000.0,Germany,1%,19%,28%,25%,50%,84%,38%,38%,0%,3%,9%
198,199,Idea Factory International,AA,32,1,45000000.0,1400000.0,769000.0,Japan,1%,0%,45%,6%,33%,6%,30%,73%,0%,0%,0%
199,200,META Publishing,Indie,10,3,44600000.0,4500000.0,745000.0,Cyprus,1%,92%,92%,62%,100%,69%,54%,38%,0%,23%,15%
200,201,Konami Digital Entertainment,AA,15,0,42500000.0,2800000.0,0,Japan,12%,0%,13%,7%,7%,7%,13%,0%,0%,0%,80%
201,202,Stress Level Zero,Indie,5,0,42500000.0,8500000.0,1700000.0,United States,5%,80%,80%,40%,80%,40%,0%,0%,0%,0%,0%
202,203,Ndemic Creations,Indie,3,1,42300000.0,14100000.0,21200000.0,United Kingdom,4%,50%,0%,50%,0%,75%,100%,0%,0%,0%,0%
203,204,Motion Twin,AA,2,0,42100000.0,21000000.0,21000000.0,France,2%,100%,100%,0%,50%,0%,0%,0%,0%,0%,0%
204,205,Thunder Lotus Games,Indie,3,0,41900000.0,14000000.0,13600000.0,Canada,3%,100%,67%,0%,100%,33%,0%,0%,0%,0%,0%
